PROLIFIC_PID,test_order,response
Internet,352,232.0
Internet,686,191.0
Internet,1337,145.0
Internet,703,160.0
Internet,1565,360.0
Internet,1923,230.0
Internet,1721,331.0
Internet,1345,200.0
Internet,1938,193.0
Internet,2154,272.0
Internet,1514,102.0
Internet,2771,220.0
Internet,2323,430.0
Internet,1951,155.0
Internet,2734,140.0
Internet,757,125.0
Internet,2449,380.0
Internet,416,301.0
Internet,395,221.0
Internet,1954,131.0
67cf0197f22f7a9c183a327d,2448,160.0
67cf0197f22f7a9c183a327d,11,183.0
67cf0197f22f7a9c183a327d,88,133.0
67cf0197f22f7a9c183a327d,2846,120.0
67cf0197f22f7a9c183a327d,228,133.0
67cf0197f22f7a9c183a327d,896,156.0
67cf0197f22f7a9c183a327d,2594,145.0
67cf0197f22f7a9c183a327d,2298,116.0
67cf0197f22f7a9c183a327d,502,313.0
67cf0197f22f7a9c183a327d,1939,160.0
67cf0197f22f7a9c183a327d,912,184.0
67cf0197f22f7a9c183a327d,1923,140.0
67cf0197f22f7a9c183a327d,2071,140.0
67cf0197f22f7a9c183a327d,232,181.0
67cf0197f22f7a9c183a327d,617,138.0
67cf0197f22f7a9c183a327d,2044,186.0
67cf0197f22f7a9c183a327d,477,205.0
67cf0197f22f7a9c183a327d,1947,153.0
67cf0197f22f7a9c183a327d,1684,123.0
67cf0197f22f7a9c183a327d,587,135.0
66884713a634c5f082e912a3,1786,504.0
66884713a634c5f082e912a3,1952,546.0
66884713a634c5f082e912a3,1498,421.0
66884713a634c5f082e912a3,1847,429.0
66884713a634c5f082e912a3,1416,553.0
66884713a634c5f082e912a3,624,425.0
66884713a634c5f082e912a3,1632,514.0
66884713a634c5f082e912a3,2568,424.0
66884713a634c5f082e912a3,2591,525.0
66884713a634c5f082e912a3,231,424.0
66884713a634c5f082e912a3,2485,563.0
66884713a634c5f082e912a3,496,480.0
66884713a634c5f082e912a3,878,533.0
66884713a634c5f082e912a3,2036,428.0
66884713a634c5f082e912a3,2731,390.0
66884713a634c5f082e912a3,1166,514.0
66884713a634c5f082e912a3,680,379.0
66884713a634c5f082e912a3,2229,418.0
66884713a634c5f082e912a3,1398,474.0
66884713a634c5f082e912a3,2396,327.0
63d2eec88a81e2462be70762,234,160.0
63d2eec88a81e2462be70762,1564,231.0
